path,exists,compressed_bytes,uncompressed_bytes_if_gzip,source,licence_commercial_redistribution,producer_script,git_tracked,rebuild_status_from_clean_checkout
data/crosswalk/players.csv,True,348087,,Derived Understat/TM player crosswalk,Redistribution inherits source-name/id risks,ingest/crosswalk_players.py,True,tracked artifact or produced by listed script; network/raw-source rebuild not attempted in audit
data/fbref/perf_player_season.parquet,True,7083250,,FBref/Stathead-style player seasons,Proprietary/terms risk; do not redistribute publicly without review,ingest/fbref_perf.py,True,tracked artifact or produced by listed script; network/raw-source rebuild not attempted in audit
data/fbref_shots/shots_selling.parquet,True,2589709,,FBref shot data for selling leagues,Proprietary/terms risk; do not redistribute publicly without review,ingest/fbref_shots.py,True,tracked artifact or produced by listed script; network/raw-source rebuild not attempted in audit
data/impact/defensive_value.parquet,True,902033,,Derived defensive value summary,Derived from source event/player data,ingest/defensive_value.py,True,tracked artifact or produced by listed script; network/raw-source rebuild not attempted in audit
data/impact/possession_value.parquet,True,762602,,Derived possession/xT-style value,Derived from source event/player data,ingest/possession_value.py,True,tracked artifact or produced by listed script; network/raw-source rebuild not attempted in audit
data/master/contracts.parquet,True,569199,,Transfermarkt current/PIT contract-derived records,Current snapshots leak for historical decisions unless PIT flag proves otherwise,ingest/contracts.py,True,tracked artifact or produced by listed script; network/raw-source rebuild not attempted in audit
data/master/injuries.parquet,True,611912,,Transfermarkt injury histories,TM/source rights need review,ingest/injuries.py,True,tracked artifact or produced by listed script; network/raw-source rebuild not attempted in audit
data/merged/transfers_canonical.parquet,True,5618455,,Merged Transfermarkt estates plus raw harvest,Not safe for public/commercial redistribution without TM/source review,ingest/merge.py,True,tracked artifact or produced by listed script; network/raw-source rebuild not attempted in audit
data/money/fee_ranker.csv,True,2064236,,Derived fee model board,Derived model output; includes source-derived fields,money/fees.py,True,tracked artifact or produced by listed script; network/raw-source rebuild not attempted in audit
data/money/scout_arsenal.csv,True,8313,,Derived NPV/scout board,Derived model output; includes source-derived fields,money/scout.py,True,tracked artifact or produced by listed script; network/raw-source rebuild not attempted in audit
data/money/talent_scores.csv,False,0,,Derived talent-vs-price panel,Derived model output; includes source-derived fields,impact/talent.py,False,tracked artifact or produced by listed script; network/raw-source rebuild not attempted in audit
data/stage4/panel.csv,True,947556,,Derived completed-mover validation panel,Derived validation artifact,validate/stage4.py,True,tracked artifact or produced by listed script; network/raw-source rebuild not attempted in audit
data/strength/clubelo_history.csv,True,30430060,,ClubElo history/API or mirror,Licence not formally verified,ingest/strength.py,True,tracked artifact or produced by listed script; network/raw-source rebuild not attempted in audit
data/transfermarkt/player_valuations.csv.gz,True,5724453,24684851.0,Transfermarkt-derived dcaribou/player-scores R2,"CC0 claimed upstream; market values are consensus estimates, not ground truth",ingest/transfermarkt.py,True,tracked artifact or produced by listed script; network/raw-source rebuild not attempted in audit
data/transfermarkt/players.csv.gz,True,4125713,17122561.0,Transfermarkt-derived dcaribou/player-scores R2,CC0 claimed upstream; current snapshot fields leak for historical contracts,ingest/transfermarkt.py,True,tracked artifact or produced by listed script; network/raw-source rebuild not attempted in audit
data/transfermarkt/transfers.csv.gz,True,1059102,2970177.0,Transfermarkt-derived dcaribou/player-scores R2,CC0 claimed upstream; verify TM database-rights risk before commercial use,ingest/transfermarkt.py,True,tracked artifact or produced by listed script; network/raw-source rebuild not attempted in audit
data/understat/shots.parquet,True,9605193,,Understat shot data,Terms unclear for commercial redistribution,ingest/understat.py,True,tracked artifact or produced by listed script; network/raw-source rebuild not attempted in audit
data/wages/capology_all_seasons.parquet,True,1753853,,Capology scrape/cache,Not redistributable; proprietary wage estimates,ingest/wages_capology.py,True,tracked artifact or produced by listed script; network/raw-source rebuild not attempted in audit
data/wages/wages_fifa.parquet,True,693325,,FIFA/SoFIFA-derived wage prior,Game-derived wage proxy; commercial redistribution needs review,ingest/wages_fifa.py,True,tracked artifact or produced by listed script; network/raw-source rebuild not attempted in audit
data/warehouse.duckdb,True,4993024,,Local DuckDB views over tracked artifacts,Derived index; same restrictions as source tables,ingest/warehouse.py,True,tracked artifact or produced by listed script; network/raw-source rebuild not attempted in audit
